,source,target,weight
0,0,422,0.8482512932404225
1,0,304,0.8480715848743703
2,0,1187,0.8469526794585878
3,0,748,0.8463589324752412
4,0,568,0.8435447819450547
5,1,1763,0.9613743412388939
6,1,714,0.9600144947541767
7,1,1525,0.9598497514911397
8,1,1138,0.9598212528108376
9,1,17,0.958170498270417
10,2,1374,0.9389682656257746
11,2,1443,0.9389223015782331
12,2,628,0.9384582039361998
13,2,1501,0.9380204212853196
14,2,397,0.9378934110184454
15,3,1213,0.9216464926356388
16,3,377,0.9169596501584394
17,3,1138,0.9155706581821351
18,3,166,0.915475871815938
19,3,240,0.9132888925181868
20,4,1762,0.9560090254575629
21,4,1525,0.9531069697567687
22,4,373,0.9519488115135302
23,4,1366,0.951299085011642
24,4,302,0.9504509985335065
25,5,1154,0.9579354505386922
26,5,1633,0.9578755846648448
27,5,145,0.9559716379131608
28,5,801,0.9544861106721294
29,5,1025,0.95435439980869
30,6,1517,0.9118463185012258
31,6,1126,0.90991932399554
32,6,166,0.9096661382451945
33,6,1391,0.9089396699686564
34,6,1624,0.9078627808336861
35,7,119,0.9462025079606888
36,7,562,0.9413077593919941
37,7,834,0.9355449075490447
38,7,1036,0.9331330420070492
39,7,544,0.9319033886624168
40,8,1463,0.9380023079599811
41,8,1653,0.9258394385184755
42,8,225,0.9226233580239959
43,8,1064,0.9220862270022596
44,8,1348,0.9214854212102497
45,9,1623,0.9528040433462368
46,9,1525,0.9509720001357577
47,9,1762,0.9504063449877814
48,9,302,0.949224873695783
49,9,1108,0.9485091898358573
50,10,466,0.8959543675872065
51,10,1464,0.8804213419514643
52,10,1625,0.8755614937684163
53,10,769,0.8723147261954707
54,10,1742,0.8670058921154923
55,11,1734,0.9660840185255383
56,11,282,0.9643138347645994
57,11,618,0.9629905548113808
58,11,1983,0.9629431747659721
59,11,1387,0.9609242266615502
60,12,288,0.9243087865464497
61,12,548,0.9239411958466952
62,12,1785,0.9228330067416511
63,12,1126,0.9226275040215496
64,12,4697,0.9222628998551659
65,13,1682,0.9654451271383762
66,13,86,0.96288649990215
67,13,726,0.9618455935363377
68,13,334,0.9591355741176465
69,13,929,0.9585845047265835
70,14,1572,0.9361386392528132
71,14,1527,0.9341460411137199
72,14,1067,0.9309753413435531
73,14,424,0.9309681551894675
74,14,1546,0.9309480021121561
75,15,4697,0.8929407736738708
76,15,748,0.8910536780627618
77,15,4278,0.8908570863849246
78,15,1287,0.8867877394946665
79,15,4652,0.8837807900766032
80,16,360,0.9098955499803295
81,16,1463,0.9089883713820737
82,16,57,0.9084082151482256
83,16,1517,0.9078605781974588
84,16,561,0.9073322219444027
85,17,1911,0.9655841545472478
86,17,1763,0.9642839634401641
87,17,1180,0.9640710386533667
88,17,373,0.9632240490722056
89,17,302,0.9631997228842215
90,18,1496,0.9457461667612185
91,18,1734,0.9440836375550624
92,18,1387,0.9436374395013807
93,18,789,0.9427569981445447
94,18,1156,0.9423006147740629
95,19,1803,0.8962114811046493
96,19,1321,0.8960205227120431
97,19,1512,0.8957173915604266
98,19,1404,0.8914679797200182
99,19,134,0.8907293897973414
100,20,1825,0.941962012643299
101,20,291,0.9372382103436601
102,20,1602,0.9346844886114121
103,20,1245,0.9328070404749007
104,20,1215,0.9325434614436146
105,21,1366,0.9423582499634602
106,21,1180,0.9414225487490432
107,21,714,0.9410311782151967
108,21,113,0.9397616223354794
109,21,1525,0.9396448786353715
110,22,1373,0.9636810962465358
111,22,1290,0.9613288844914187
112,22,1202,0.9608757169656182
113,22,1073,0.9539103954434742
114,22,677,0.953003644308341
115,23,1698,0.8743024635360283
116,23,463,0.8728933979332216
117,23,317,0.8725162910969654
118,23,1286,0.8719282730856724
119,23,584,0.870998384696011
120,24,304,0.9107601232921099
121,24,416,0.9028583837242192
122,24,1512,0.9006716049297542
123,24,1162,0.8994475501316467
124,24,1524,0.8990995860993353
125,25,848,0.945594519016564
126,25,1660,0.9422866737839031
127,25,1884,0.9420379524799394
128,25,673,0.9365325324587921
129,25,1083,0.9332022052945385
130,26,1734,0.9561351263475357
131,26,1107,0.9537430297874304
132,26,1396,0.9518372212043203
133,26,302,0.9517653024355562
134,26,618,0.9515936162023819
135,27,61,0.9388690664695273
136,27,1623,0.9385748453046184
137,27,1525,0.9382880912324099
138,27,1111,0.9379389452343129
139,27,1617,0.9361849743152073
140,28,1691,0.8900894649173275
141,28,402,0.8871116405176671
142,28,1611,0.8844744925020512
143,28,38,0.8825503513192202
144,28,724,0.8815957379955223
145,29,360,0.9354356473834294
146,29,895,0.9343651102455657
147,29,1523,0.9309643299647403
148,29,1954,0.929890588328416
149,29,1126,0.9298175260705303
150,30,618,0.9224030937431209
